50.12713;14.488199;;Point;Střížkov;122
50.09219;14.481012;;Point;Strážní;123
50.09249;14.485837;;Point;Chmelnice;124
50.09215;14.492481;;Point;Kněžská luka;125
50.091506;14.499407;;Point;Spojovací;126
50.091841;14.498598;;Point;Spojovací;127
50.092185;14.492967;;Point;Kněžská luka;128
50.092555;14.48696;;Point;Chmelnice;129
50.092317;14.481535;;Point;Strážní;130
50.091683;14.475439;;Point;Vozovna Žižkov;131
50.090592;14.469092;;Point;Ohrada;132
50.095083;14.474851;;Point;Krejcárek;133
50.103535;14.471817;;Point;Palmovka;134
50.103452;14.464878;;Point;Libeňský most;135
50.103348;14.452656;;Point;Maniny;136
50.100778;14.450016;;Point;Tusarova;137
50.098339;14.444099;;Point;Pražská tržnice;138
50.099226;14.438121;;Point;Vltavská;139
50.098883;14.433691;;Point;Strossmayerovo náměstí;140
50.099709;14.428566;;Point;Kamenická;141
50.100001;14.423117;;Point;Letenské náměstí;142
50.099704;14.42058;;Point;Korunovační;143
50.09899;14.41613;;Point;Sparta;144
50.09721;14.403853;;Point;Hradčanská;145
50.09473;14.39387;;Point;Prašný most;146
50.09357;14.389065;;Point;Vozovna Střešovice;147
50.09287;14.383685;;Point;Sibeliova;148
50.092917;14.378877;;Point;Ořechovka;149
50.092398;14.369409;;Point;Baterie;150
50.091761;14.359789;;Point;Vojenská nemocnice;151
50.08977;14.350998;;Point;Větrník;152
50.088143;14.344634;;Point;Petřiny;153
50.086614;14.339737;;Point;Sídliště Petřiny;154
50.086974;14.339774;;Point;Sídliště Petřiny;155
50.0882;14.345178;;Point;Petřiny;156
50.089753;14.351194;;Point;Větrník;157
50.091738;14.3603;;Point;Vojenská nemocnice;158
50.092391;14.369828;;Point;Baterie;159
50.092837;14.379547;;Point;Ořechovka;160
50.092783;14.384203;;Point;Sibeliova;161
50.094184;14.390646;;Point;Vozovna Střešovice;162
50.094908;14.396276;;Point;Prašný most;163
50.097296;14.404872;;Point;Hradčanská;164
50.099607;14.420847;;Point;Sparta;165
50.099949;14.42409;;Point;Letenské náměstí;166
50.099479;14.429257;;Point;Kamenická;167
50.098895;14.432892;;Point;Strossmayerovo náměstí;168
50.098814;14.438765;;Point;Vltavská;169
50.098269;14.444278;;Point;Pražská tržnice;170
50.102633;14.450038;;Point;Dělnická;171
50.103245;14.453871;;Point;Maniny;172
50.103398;14.465742;;Point;Libeňský most;173
50.102475;14.473385;;Point;Palmovka;174
50.095008;14.474674;;Point;Krejcárek;175
50.090671;14.470091;;Point;Ohrada;176
50.091492;14.474534;;Point;Vozovna Žižkov;177
50.091337;14.475182;;Point;Vozovna Žižkov;178
50.093946;14.336718;;Point;Nad Džbánem;179
50.095977;14.348343;;Point;Nádraží Veleslavín;180
50.096839;14.352971;;Point;Červený Vrch;181
50.09798;14.359187;;Point;Sídliště Červený Vrch;182
50.098521;14.364549;;Point;Bořislavka;183
50.098958;14.369691;;Point;Na Pískách;184
50.099423;14.375145;;Point;Hadovka;185
50.100107;14.387045;;Point;Thákurova;186
50.100332;14.391483;;Point;Dejvická;187
50.099526;14.395489;;Point;Vítězné náměstí;188
50.100076;14.395533;;Point;Vítězné náměstí;189
50.100374;14.390613;;Point;Dejvická;190
50.10011;14.385787;;Point;Thákurova;191
50.099551;14.375712;;Point;Hadovka;192
50.099086;14.370344;;Point;Na Pískách;193
50.098567;14.363779;;Point;Bořislavka;194
50.098069;14.359286;;Point;Sídliště Červený Vrch;195
50.09682;14.352312;;Point;Červený Vrch;196
50.095721;14.346082;;Point;Nádraží Veleslavín;197
50.0941;14.3372;;Point;Nad Džbánem;198
50.093161;14.331469;;Point;Vozovna Vokovice;199
50.068031;14.346666;;Point;Hotel Golf;200
50.06855;14.354298;;Point;Poštovka;201
50.069563;14.362922;;Point;Kotlářka;202
50.070043;14.370629;;Point;Kavalírka;203
50.070625;14.380026;;Point;Klamovka;204
